Time (s),Temperature (K),Rate (s-1),Extent
3.150315031503150465e+01,3.008757875787578655e+02,2.153973492315015813e-06,4.558245108209527894e-05
3.168316831683168289e+01,3.009207920792078994e+02,2.164299380898361925e-06,4.597020508611238088e-05
3.186318631863186113e+01,3.009657965796579902e+02,2.174671657276228144e-06,4.635981793595906990e-05
3.204320432043203937e+01,3.010108010801080241e+02,2.185090515380009105e-06,4.675129798227341846e-05
3.222322232223222471e+01,3.010558055805580580e+02,2.195556149888980409e-06,4.714465361060466667e-05
3.240324032403240295e+01,3.011008100810080919e+02,2.206068756232840987e-06,4.753989324154777181e-05
3.258325832583258119e+01,3.011458145814581258e+02,2.216628530594335522e-06,4.793702533087861506e-05
3.276327632763276654e+01,3.011908190819082165e+02,2.227235669911970453e-06,4.833605836968948616e-05
3.294329432943294478e+01,3.012358235823582504e+02,2.237890371882549151e-06,4.873700088452512366e-05
3.312331233123312302e+01,3.012808280828082843e+02,2.248592834963961614e-06,4.913986143751927695e-05
3.330333033303330126e+01,3.013258325832583182e+02,2.259343258377799690e-06,4.954464862653168845e-05
3.348334833483347950e+01,3.013708370837083521e+02,2.270141842111999814e-06,4.995137108528556366e-05
3.366336633663366484e+01,3.014158415841584429e+02,2.280988786923625090e-06,5.036003748350555620e-05
3.384338433843384308e+01,3.014608460846084768e+02,2.291884294341384365e-06,5.077065652705615946e-05
3.402340234023402132e+01,3.015058505850585107e+02,2.302828566668557885e-06,5.118323695808070809e-05
3.420342034203420667e+01,3.015508550855085446e+02,2.313821806985565916e-06,5.159778755514076576e-05
3.438343834383438491e+01,3.015958595859585785e+02,2.324864219152700432e-06,5.201431713335598719e-05
3.456345634563456315e+01,3.016408640864086692e+02,2.335956007812923283e-06,5.243283454454459013e-05
3.474347434743474139e+01,3.016858685868587031e+02,2.347097378394482684e-06,5.285334867736419325e-05
3.492349234923491963e+01,3.017308730873087370e+02,2.358288537113788464e-06,5.327586845745320280e-05
3.510351035103510497e+01,3.017758775877587709e+02,2.369529690978133163e-06,5.370040284757270766e-05
3.528352835283528321e+01,3.018208820882088048e+02,2.380821047788355104e-06,5.412696084774878757e-05
3.546354635463546146e+01,3.018658865886588387e+02,2.392162816141748792e-06,5.455555149541545170e-05
3.564356435643564680e+01,3.019108910891089295e+02,2.403555205434800416e-06,5.498618386555799046e-05
3.582358235823582504e+01,3.019558955895589634e+02,2.414998425865866159e-06,5.541886707085678140e-05
3.600360036003600328e+01,3.020009000900089973e+02,2.426492688438171971e-06,5.585361026183173201e-05
3.618361836183618152e+01,3.020459045904590312e+02,2.438038204962437675e-06,5.629042262698711561e-05
3.636363636363635976e+01,3.020909090909090651e+02,2.449635188059801345e-06,5.672931339295694928e-05
3.654365436543654511e+01,3.021359135913591558e+02,2.461283851164634426e-06,5.717029182465089361e-05
3.672367236723672335e+01,3.021809180918091897e+02,2.472984408527265366e-06,5.761336722540059968e-05
3.690369036903690159e+01,3.022259225922592236e+02,2.484737075216997166e-06,5.805854893710667261e-05
3.708370837083708693e+01,3.022709270927092575e+02,2.496542067124785285e-06,5.850584634038607569e-05
3.726372637263726517e+01,3.023159315931592914e+02,2.508399600966256454e-06,5.895526885471996805e-05
3.744374437443744341e+01,3.023609360936093822e+02,2.520309894284467472e-06,5.940682593860228109e-05
3.762376237623762165e+01,3.024059405940594161e+02,2.532273165452755888e-06,5.986052708968858617e-05
3.780378037803779989e+01,3.024509450945094500e+02,2.544289633677765608e-06,6.031638184494560607e-05
3.798379837983798524e+01,3.024959495949594839e+02,2.556359519002203984e-06,6.077439978080120087e-05
3.816381638163816348e+01,3.025409540954095178e+02,2.568483042307839465e-06,6.123459051329484162e-05
3.834383438343834172e+01,3.025859585958596085e+02,2.580660425318387014e-06,6.169696369822874811e-05
3.852385238523852706e+01,3.026309630963096424e+02,2.592891890602321952e-06,6.216152903131937904e-05
3.870387038703870530e+01,3.026759675967596763e+02,2.605177661576020757e-06,6.262829624834949816e-05
3.888388838883888354e+01,3.027209720972097102e+02,2.617517962506571093e-06,6.309727512532087735e-05
3.906390639063906178e+01,3.027659765976597441e+02,2.629913018514666124e-06,6.356847547860738597e-05
3.924392439243924002e+01,3.028109810981098349e+02,2.642363055577747855e-06,6.404190716510867654e-05
3.942394239423942537e+01,3.028559855985598688e+02,2.654868300532739231e-06,6.451758008240441244e-05
3.960396039603960361e+01,3.029009900990099027e+02,2.667428981079235763e-06,6.499550416890895654e-05
3.978397839783978185e+01,3.029459945994599366e+02,2.680045325782403224e-06,6.547568940402672376e-05
3.996399639963996719e+01,3.029909990999099705e+02,2.692717564075906267e-06,6.595814580830799446e-05
4.014401440144014543e+01,3.030360036003600612e+02,2.705445926265070822e-06,6.644288344360518872e-05
4.032403240324032367e+01,3.030810081008100951e+02,2.718230643529686083e-06,6.692991241322985869e-05
4.050405040504050191e+01,3.031260126012601290e+02,2.731071947927232970e-06,6.741924286211008774e-05
4.068406840684068015e+01,3.031710171017101629e+02,2.743970072395848747e-06,6.791088497694847223e-05
4.086408640864086550e+01,3.032160216021601968e+02,2.756925250757262416e-06,6.840484898638068609e-05
4.104410441044104374e+01,3.032610261026102876e+02,2.769937717720043931e-06,6.890114516113446548e-05
4.122412241224122198e+01,3.033060306030603215e+02,2.783007708882439647e-06,6.939978381418937959e-05
4.140414041404140733e+01,3.033510351035103554e+02,2.796135460735636777e-06,6.990077530093691304e-05
